url,name,dev,description,genre,tags,status,platforms,publisher,release_date,made_with,rating,rating_count,average_session,languages,inputs,nsfw,safe_virus,notes,thumbnail
https://izumi-games.itch.io/cyber-obsession,Cyber Obsession,Izumi Games,"""REMEMBER YOUR ROLE.",Visual Novel,"Cyberpunk, drama, Mystery, Otome, Psychological Horror, Romance, suspense, Yandere",Released,"Windows, macOS, Linux",N/A,N/A,N/A,4.8,64,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1NzgxOTM5LmpwZw==/original/H8k6XY.jpg
https://hempuli.itch.io/chessrl,█ █ ▄ █,Hempuli,"Climb the tower, defeat opponents, use wands.",Puzzle,"2D, Chess, Fantasy, No AI, Pixel Art, Roguelike, Roguelite, rougelike, Short",Released,Windows,N/A,N/A,N/A,5.0,6,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1OTY0Nzg0LnBuZw==/original/xG2j7p.png
https://funday-games.itch.io/reacticore,Reacticore,Funday Games,Reacticore is an incremental chain reaction prototype about pure Science* # HOW TO SCIENCE Use your heat gun to start chain reactions in digital cells.,Simulation,"Arcade, Atmospheric, Clicker, Experimental, Incremental, Minimalist, Relaxing, Retro, Short",Prototype,HTML5,N/A,N/A,Unity,4.6,131,About a half-hour,English,Mouse,No,?,,https://img.itch.zone/aW1nLzI1NjczMjcyLnBuZw==/original/ZOIsof.png
https://genieboygames.itch.io/twirl,T.W.I.R.L.,"Genie Boy Games, RBD Interactive",IF EVER ASKED TO LOOK AT YOURSELF.,Adventure,"First-Person, Horror, LGBT, Multiple Endings, Narrative, PSX (PlayStation), Psychological Horror, Retro, Singleplayer, Story Rich",Released,Windows,N/A,05 March 2026 @ 04:00 UTC,Unity,4.9,15,About an hour,N/A,"Keyboard, Mouse, Xbox controller, Playstation controller",No,?,,https://img.itch.zone/aW1nLzI2MDU3NzY3LnBuZw==/original/AC8B6D.png
https://slash.itch.io/berlin-interpretation-92,Berlin Interpretation 1992,slashie,It's 1992.,Strategy,"1-bit, Dungeon Crawler, Experimental, Retro, Roguelike",Released,"HTML5, Windows",N/A,N/A,Unity,N/A,N/A,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI2MDI5NDcxLnBuZw==/original/uZQR7R.png
https://calcium-chan.itch.io/vapinupituru,ᕙᐱᓄᐱᑐᕈ,calcium_chan,ᕙᐱᓄᐱᑐᕈ (pronounced va-pi-nu-pi-tu-ru.,Adventure,"2D, Dreams, Horror, Music, Pixel Art, Retro, RPG Maker, Short, Singleplayer",Released,HTML5,N/A,N/A,EasyRPG,4.9,57,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1OTAyNTc3LnBuZw==/original/zxQ1km.png
https://nilefox717.itch.io/porkys-bloodbath,Porky's Bloodbath,nilefox717,"Get immersed in this short horror experience as a hotel cleaner getting ready to get off his shift unaware of the impending horror that awaits you This is my first game, I learned a lot working on thi...",Adventure,"3D, Atmospheric, Comedy, Creepy, Horror, PSX (PlayStation), Retro, Scary, Singleplayer",Released,Windows,N/A,N/A,N/A,4.5,10,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1OTk5NjczLnBuZw==/original/9WvYKl.png
https://peachieevee.itch.io/webconfessional,WebConfessional,Atelier on the Moon,"By applying to be an Angel for WebConfessional, you hereby swear that you 1) shall take your duty seriously and faithfully, 2) persuade the sinners to repent and atone for their sins, 3) turn them ...",Visual Novel,"Amare, chatsim, Dark, psychological, Thriller, Yandere",Released,"Windows, macOS, Linux",N/A,N/A,N/A,4.9,47,About an hour,N/A,Mouse,No,?,,https://img.itch.zone/aW1nLzI1MzI1NTU3LmpwZw==/original/U2Msn8.jpg
https://ligianunes.itch.io/love-the-guard-be-the-king,"Love the Guard, Be the King (complete)",Ligia Nunes,Two children raised together.,"Visual Novel, Interactive Fiction","Amare, Fantasy, Meaningful Choices, Medieval, Ren'Py, Romance, Singleplayer, Story Rich",Released,"Windows, macOS, Linux",N/A,N/A,Ren'Py,4.8,713,Days or more,English,Gamepad (any),No,?,,https://img.itch.zone/aW1nLzIzODc5ODUwLnBuZw==/original/Rwc%2FPQ.png
https://orb-star.itch.io/in-his-gaze,The Seat Across From Mine,O.R.B,Every morning I take the same bus.,Visual Novel,"Atmospheric, Fantasy, Multiple Endings, Romance, Short, Yandere",Released,"HTML5, Windows, macOS, Linux",N/A,N/A,Ren'Py,5.0,1,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI2MDA0NTY5LnBuZw==/original/lLtd5O.png
